SEASON;TRUTH;PRED;AE;Pred. MVP;True MVP;REAL_RANK;PRED_RANK;Real MVP rank
1974;0.583;0.6973875773300099;0.11438757733000993;KareemAbdul-Jabbar;KareemAbdul-Jabbar;1.0;1.0;1
1975;0.567;0.8573608265776858;0.2903608265776858;BobMcAdoo;BobMcAdoo;1.0;1.0;1
1976;0.442;0.7301415530539939;0.28814155305399386;KareemAbdul-Jabbar;KareemAbdul-Jabbar;1.0;1.0;1
1977;0.644;0.7758844561016554;0.13188445610165533;KareemAbdul-Jabbar;KareemAbdul-Jabbar;1.0;1.0;1
1978;0.059;0.26256920910094256;0.20356920910094256;KareemAbdul-Jabbar;BillWalton;4.0;3.0;1
1979;0.502;0.43932649308907773;0.06267350691092227;MosesMalone;MosesMalone;1.0;1.0;1
1980;0.665;0.5421579282928847;0.12284207170711536;KareemAbdul-Jabbar;KareemAbdul-Jabbar;1.0;1.0;1
1981;0.658;0.40906912776356585;0.24893087223643418;JuliusErving;JuliusErving;1.0;1.0;1
1982;0.735;0.47260029291612393;0.26239970708387605;MosesMalone;MosesMalone;1.0;1.0;1
1983;0.96;0.4778878025656237;0.4821121974343763;MosesMalone;MosesMalone;1.0;1.0;1
1984;0.858;0.7563639509172371;0.10163604908276291;LarryBird;LarryBird;1.0;1.0;1
1985;0.978;0.7292747173014751;0.2487252826985249;LarryBird;LarryBird;1.0;1.0;1
1986;0.981;0.8134850313140369;0.16751496868596305;LarryBird;LarryBird;1.0;1.0;1
1987;0.347;0.6723466652897238;0.3253466652897238;LarryBird;MagicJohnson;3.0;2.0;1
1988;0.831;0.6234111011757727;0.20758889882422726;MichaelJordan;MichaelJordan;1.0;1.0;1
1989;0.704;0.578759120296143;0.125240879703857;MichaelJordan;MagicJohnson;2.0;2.0;1
1990;0.613;0.7815458692990583;0.16854586929905835;MichaelJordan;MagicJohnson;3.0;2.0;1
1991;0.928;0.7724017623461864;0.15559823765381364;MichaelJordan;MichaelJordan;1.0;1.0;1
1992;0.938;0.8565523373722911;0.08144766262770886;MichaelJordan;MichaelJordan;1.0;1.0;1
1993;0.577;0.7774148157606325;0.20041481576063258;MichaelJordan;CharlesBarkley;3.0;2.0;1
1994;0.723;0.8496818784139283;0.1266818784139283;DavidRobinson;HakeemOlajuwon;2.0;2.0;1
1995;0.858;0.8043948866923061;0.05360511330769391;DavidRobinson;DavidRobinson;1.0;1.0;1
1996;0.986;0.9346221795313561;0.05137782046864392;MichaelJordan;MichaelJordan;1.0;1.0;1
1997;0.832;0.9666375343812016;0.13463753438120163;MichaelJordan;KarlMalone;2.0;2.0;1
1998;0.934;0.6859097684805281;0.24809023151947196;MichaelJordan;MichaelJordan;1.0;1.0;1
1999;0.701;0.5097296744335047;0.19127032556649526;KarlMalone;KarlMalone;1.0;1.0;1
2000;0.998;0.8938240209617803;0.10417597903821973;ShaquilleONeal;ShaquilleONeal;1.0;1.0;1
2001;0.904;0.3522635371883277;0.5517364628116723;AllenIverson;AllenIverson;1.0;1.0;1
2002;0.757;0.783747810659487;0.026747810659486948;TimDuncan;TimDuncan;1.0;1.0;1
2003;0.808;0.7499844389861476;0.05801556101385241;TimDuncan;TimDuncan;1.0;1.0;1
2004;0.991;0.880589757630697;0.11041024236930297;KevinGarnett;KevinGarnett;1.0;1.0;1
2005;0.275;0.2724693238032213;0.002530676196778714;DirkNowitzki;SteveNash;3.0;4.0;1
2006;0.55;0.477083325805327;0.07291667419467307;LeBronJames;SteveNash;2.0;7.0;1
2007;0.882;0.5693326742119261;0.3126673257880739;DirkNowitzki;DirkNowitzki;1.0;1.0;1
2008;0.348;0.3532282806071943;0.005228280607194324;LeBronJames;KobeBryant;4.0;2.0;1
2009;0.969;1.2547070959952815;0.28570709599528155;LeBronJames;LeBronJames;1.0;1.0;1
2010;0.98;1.0417613281717675;0.06176132817176749;LeBronJames;LeBronJames;1.0;1.0;1
2011;0.977;0.7108621637905549;0.2661378362094451;DerrickRose;DerrickRose;1.0;1.0;1
2012;0.888;0.7586836097965451;0.12931639020345487;LeBronJames;LeBronJames;1.0;1.0;1
2013;0.998;1.0780880134095054;0.08008801340950544;LeBronJames;LeBronJames;1.0;1.0;1
2014;0.986;0.785438776204779;0.200561223795221;KevinDurant;KevinDurant;1.0;1.0;1
2015;0.922;0.731680867088975;0.1903191329110251;StephenCurry;StephenCurry;1.0;1.0;1
2016;1.0;1.0225849562651403;0.022584956265140343;StephenCurry;StephenCurry;1.0;1.0;1
2017;0.879;0.8529413393153721;0.02605866068462792;RussellWestbrook;RussellWestbrook;1.0;1.0;1
2018;0.955;0.7640503839861067;0.19094961601389326;JamesHarden;JamesHarden;1.0;1.0;1
2019;0.768;0.6768144322000702;0.09118556779992981;JamesHarden;GiannisAntetokounmpo;2.0;2.0;1
2020;0.952;0.9880599248027815;0.03605992480278153;GiannisAntetokounmpo;GiannisAntetokounmpo;1.0;1.0;1
2021;0.961;0.7032608674836022;0.2577391325163978;NikolaJokić;NikolaJokić;1.0;1.0;1
